20110730_12:00:00,5
20110731_12:00:00,5
20110801_12:00:00,5
20110802_12:00:00,9
20110803_12:00:00,9
20110804_12:00:00,9
20110805_12:00:00,5
20110806_12:00:00,5
20110807_12:00:00,5
20110808_12:00:00,5
20110809_12:00:00,5
20110810_12:00:00,5
20110811_12:00:00,5
20110812_12:00:00,5
20110813_12:00:00,5
20110814_12:00:00,1
20110815_12:00:00,1
20110816_12:00:00,1
20110817_12:00:00,5
20110818_12:00:00,1
20110819_12:00:00,1
20110820_12:00:00,1
20110821_12:00:00,4
20110822_12:00:00,4
20110823_12:00:00,4
20110824_12:00:00,4
20110825_12:00:00,4
20110826_12:00:00,4
20110827_12:00:00,9
20110828_12:00:00,9
20110829_12:00:00,9
20110830_12:00:00,9
20110831_12:00:00,9
20110901_12:00:00,9
20110902_12:00:00,9
20110903_12:00:00,9
20110904_12:00:00,9
20110905_12:00:00,9
20110906_12:00:00,1
20110907_12:00:00,1
20110908_12:00:00,1
20110909_12:00:00,4
20110910_12:00:00,4
20110911_12:00:00,4
20110912_12:00:00,4
20110913_12:00:00,4
20110914_12:00:00,1
20110915_12:00:00,1
20110916_12:00:00,1
20110917_12:00:00,1
20110918_12:00:00,1
20110919_12:00:00,1
20110920_12:00:00,1
20110921_12:00:00,1
20110922_12:00:00,1
20110923_12:00:00,4
20110924_12:00:00,4
20110925_12:00:00,4
20110926_12:00:00,4
20110927_12:00:00,4
20110928_12:00:00,4
20110929_12:00:00,1
20110930_12:00:00,1
20111001_12:00:00,4
20111002_12:00:00,4
20111003_12:00:00,4
20111004_12:00:00,4
20111005_12:00:00,2
20111006_12:00:00,2
20111007_12:00:00,3
20111008_12:00:00,2
20111009_12:00:00,2
20111010_12:00:00,2
20111011_12:00:00,2
20111012_12:00:00,8
20111013_12:00:00,2
20111014_12:00:00,2
20111015_12:00:00,2
20111016_12:00:00,2
20111017_12:00:00,2
20111018_12:00:00,2
20111019_12:00:00,4
20111020_12:00:00,6
20111021_12:00:00,6
20111022_12:00:00,3
20111023_12:00:00,6
20111024_12:00:00,7
20111025_12:00:00,7
20111026_12:00:00,6
20111027_12:00:00,6
20111028_12:00:00,6
20111029_12:00:00,0
20111030_12:00:00,0
20111031_12:00:00,6
20111101_12:00:00,6
20111102_12:00:00,0
20111103_12:00:00,6
20111104_12:00:00,6
20111105_12:00:00,6
20111106_12:00:00,7
20111107_12:00:00,7
20111108_12:00:00,8
20111109_12:00:00,3
20111110_12:00:00,8
20111111_12:00:00,2
20111112_12:00:00,2
20111113_12:00:00,6
20111114_12:00:00,6
20111115_12:00:00,6
